blockNumber,timestamp,transactionHash,from,to,value,address,tokenName,decimals,,tokenPrice
19147556,1706959967,0x548a8530c92e87efed39d84ec3d53b7a4a5c855850bb6bfb373827ba442bc56a,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,991250000,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999463
19147558,1706959991,0x9d36faf7037bcfaaf217ea9cd73c594619ccdbc088a790980063a7a1a5576c5f,0x3019bc25bb48ec48df1e42aed8c13f517bd7fa27,0x3a23f943181408eac424116af7b7790c94cb97a5,29790000000000000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.788163
19147563,1706960051,0x3bd1545819f8136baa7cd97edfda7d78818e892b132fc2217e8d2b11c9723427,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3a23f943181408eac424116af7b7790c94cb97a5,332677737867022993,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2304.26
19147636,1706960939,0xf09ea5a3cf16967925ead4052dd6c856c6ddd2e836ec3fe00082362541dfb646,0xe85d6e209818b96c24260fdfb626643e09d6e8fc,0x3a23f943181408eac424116af7b7790c94cb97a5,606632760,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19147651,1706961119,0x0654a5b430d28b86609ef5ac59a9c55658a8280808776a3810440d75f1c709ac,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x3a23f943181408eac424116af7b7790c94cb97a5,91221657,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.9992
19147680,1706961467,0xc9119f45cdd9dd3855a46d6b5426d84b864a9c33caab7d8bb2b258b7c1c2390c,0x00000000009726632680fb29d3f7a9734e3010e2,0x3a23f943181408eac424116af7b7790c94cb97a5,454888731,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,0.999662
19147743,1706962235,0xd51da344af41b7447e9c2ebad657e91998ca3d0ecdccda1730e2f64a45eee743,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,416540370738410449083,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.7881911376005043
19147761,1706962451,0x8f91a81c77d923556a2cec63edf1a2122c892d649100c86e11de2e6927d009b8,0x9445e93057f3f5e3452ce50fc867b22a48b4d82a,0x3a23f943181408eac424116af7b7790c94cb97a5,12149099029,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,6,,1
19147772,1706962583,0x23f99942cba112171d344bd44b92d3a7d98666e55ea79bda7c880ca726c03706,0x281ab1c5e0685fbd1a528ab26205008fa3be4ced,0x3a23f943181408eac424116af7b7790c94cb97a5,5070029786424995000000,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.7887503838030552
19147787,1706962763,0x05f6108814a27835f3d57f283ab85aecef899d6eea33be2f1706c64c301a622a,0xca67be7f3ec7bde041203999200aefdc92fbe241,0x3a23f943181408eac424116af7b7790c94cb97a5,995575447710841018,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2306.33
19147787,1706962763,0x05f6108814a27835f3d57f283ab85aecef899d6eea33be2f1706c64c301a622a,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3a23f943181408eac424116af7b7790c94cb97a5,1,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2306.33
19147790,1706962799,0x56d2a9e95ff00667dcae023e17107f794db55f83bc18c44a9a58fdfd22aae979,0x819f3450da6f110ba6ea52195b3beafa246062de,0x3a23f943181408eac424116af7b7790c94cb97a5,57803093155783733448,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,Matic Token,18,,0.789098046238422
19147920,1706964371,0x7be08fbb35896037483cb1bdc76da798f0fd5364b362d0483ae9383bf6fff8e3,0x9a47f3289794e9bbc6a3c571f6d96ad4e7baed16,0x3a23f943181408eac424116af7b7790c94cb97a5,1288625000,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,6,,0.999683
19147920,1706964371,0x7be08fbb35896037483cb1bdc76da798f0fd5364b362d0483ae9383bf6fff8e3,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0x3a23f943181408eac424116af7b7790c94cb97a5,2997216,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,8,,42918
19147935,1706964551,0xf33dfea9100d331ed4306ca3da4affbf85b07a3eb5d883ccd3638bc060739d46,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x3a23f943181408eac424116af7b7790c94cb97a5,1970055240985293030,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,Liquid staked Ether 2.0,18,,2305.6
