blockNumber,date,hour,minute,tokenName,token_amount,tokenPrice,dollar_volume
19150177,2024-02-03,20,22,USD Coin,5000.0,0.999926,4999.63
19154877,2024-02-04,12,13,Tether USD,5000.0,0.999568,4997.84
19164873,2024-02-05,21,56,USD Coin,5000.0,0.999159,4995.795
