blockNumber,date,hour,minute,tokenName,token_amount,tokenPrice,dollar_volume
19148626,2024-02-03,15,9,Matic Token,1.986,0.782286,1.5536199960000001
19149894,2024-02-03,19,25,USD Coin,1.986,0.999862,1.985725932
19155593,2024-02-04,14,38,Tether USD,1.986,0.999206,1.984423116
