blockNumber,date,hour,minute,tokenName,token_amount,tokenPrice,dollar_volume
19147434,2024-02-03,11,7,Tether USD,300000.0,0.999497,299849.1
19147439,2024-02-03,11,8,Tether USD,300000.0,0.999439,299831.7
19159166,2024-02-05,2,40,USD Coin,300000.0,1.0001664715489702,300049.9414646911
