blockNumber,date,hour,minute,tokenName,token_amount,tokenPrice,dollar_volume
19154579,2024-02-04,11,13,USD Coin,100000.0,1.001,100099.99999999999
19158831,2024-02-05,1,33,USD Coin,100000.0,1.0001803200887929,100018.0320088793
