blockNumber,date,hour,minute,tokenName,token_amount,tokenPrice,dollar_volume
19148892,2024-02-03,16,2,USD Coin,3500.0,1.0,3500.0
19149182,2024-02-03,17,1,Matic Token,3500.0,0.789152,2762.0319999999997
19157010,2024-02-04,19,25,USD Coin,3500.0,1.0000309894851367,3500.1084631979784
