blockNumber,date,hour,minute,tokenName,token_amount,tokenPrice,dollar_volume
19153424,2024-02-04,7,19,Wrapped Ether,0.00495625,2293.25,11.3659203125
19159035,2024-02-05,2,14,Wrapped Ether,0.00495625,2280.23,11.3013899375
